area,budget,climate,priority,design_id,actual_cost,energy_efficiency,water_efficiency,materials_efficiency,carbon_level,payback_period_years,embodied_carbon
4815,76,hot,materials,1,1524856,38,64,100,Medium,999,1000
1863,52,hot,energy,0,355484,73,62,69,Medium,81,693
813,37,hot,materials,0,137396,69,51,66,Medium,88,667
1153,55,cold,materials,2,292322,64,80,77,Medium,177,779
405,52,moderate,water,0,74310,73,98,55,Low,78,552
799,77,cold,materials,0,216962,86,75,82,Low,74,825
1946,54,hot,energy,0,379692,79,63,63,Medium,66,633
2198,63,cold,water,0,576297,62,83,65,Medium,206,658
1955,54,cold,materials,1,511666,50,75,92,Medium,3133,929
538,36,moderate,water,1,87915,66,89,67,Medium,101,672
448,43,moderate,materials,1,84429,67,78,85,Low,110,858
1173,26,hot,energy,1,164876,63,54,65,Medium,105,655
857,44,cold,water,2,184131,62,94,62,Medium,171,620
756,85,cold,water,1,240780,68,95,85,Low,167,853
842,71,cold,water,1,234066,69,94,81,Low,142,814
723,36,cold,energy,2,134855,67,75,57,Medium,107,574
659,89,hot,materials,2,270947,77,82,96,Low,147,967
491,35,cold,energy,2,87224,69,71,58,Medium,93,580
1108,77,moderate,materials,1,304990,79,90,99,Low,94,995
435,80,moderate,energy,2,140862,89,100,74,Low,81,743
1736,26,hot,water,0,212872,56,67,59,Medium,203,593
770,62,moderate,water,1,202495,73,100,81,Low,110,813
2142,25,moderate,materials,0,229258,57,66,70,Medium,138,705
497,79,moderate,energy,0,144326,100,89,72,Low,58,720
1061,78,moderate,materials,2,368301,87,99,88,Low,91,880
500,43,moderate,energy,0,82975,90,82,55,Low,41,558
1657,96,moderate,water,1,563069,86,100,99,Low,92,998
1710,90,hot,energy,2,704577,88,81,85,Low,106,851
897,48,moderate,water,1,179287,73,92,76,Low,85,762
1551,79,hot,energy,2,582516,83,85,77,Low,111,777
1394,52,moderate,water,0,288430,80,93,63,Low,68,630
1258,66,hot,water,0,305622,73,77,68,Medium,103,685
463,95,moderate,water,1,160732,90,100,90,Low,85,900
1370,32,hot,energy,0,174997,69,49,50,Medium,64,503
1055,45,moderate,energy,2,222142,78,87,67,Low,74,676
325,61,cold,water,0,80594,70,78,65,Medium,122,651
1029,70,hot,water,1,274578,74,85,81,Low,108,813
353,71,moderate,energy,2,108443,90,97,69,Low,75,694
1491,82,hot,materials,2,527757,70,80,89,Low,169,895
612,34,moderate,water,0,84424,70,85,55,Medium,68,559
776,85,moderate,materials,0,241812,90,92,89,Low,77,897
652,20,moderate,materials,0,56744,61,65,61,Medium,76,614
611,71,moderate,materials,0,160844,86,84,76,Low,71,761
1239,31,cold,materials,2,218088,53,71,71,Medium,480,713
378,93,moderate,materials,0,112903,90,91,86,Low,73,869
895,87,cold,materials,0,299988,84,78,85,Low,97,850
780,63,cold,materials,1,210205,68,68,91,Low,149,913
427,54,cold,energy,2,105689,72,82,63,Medium,110,631
2340,65,hot,energy,1,663838,68,64,86,Medium,156,866
1276,94,cold,materials,2,517595,81,94,97,Low,130,975
771,37,cold,water,2,145983,56,96,53,Medium,281,530
420,50,moderate,materials,2,105552,78,90,80,Low,88,801
993,92,cold,energy,0,364773,94,78,77,Low,82,778
1129,36,hot,energy,2,216674,71,66,60,Medium,87,606
1972,36,moderate,water,0,266997,62,88,59,Medium,104,590
780,92,cold,energy,2,335134,87,92,83,Low,113,832
992,80,hot,energy,2,381952,86,81,80,Low,104,808
1128,72,cold,energy,1,365093,78,84,84,Low,115,848
518,22,hot,water,1,54619,52,65,64,Medium,507,641
518,89,moderate,materials,0,158228,94,90,85,Low,69,858
1180,72,moderate,water,0,323269,80,99,70,Low,88,705
1008,69,cold,energy,0,258930,82,75,69,Low,80,698
938,22,hot,water,1,104098,58,63,66,Medium,124,661
517,78,hot,materials,1,174717,75,74,93,Low,134,936
2387,79,hot,materials,0,636647,64,69,87,Medium,178,878
1607,83,moderate,materials,2,499267,79,100,96,Low,103,968
1257,66,hot,energy,2,350013,83,78,70,Low,83,701
2229,22,hot,energy,2,278400,54,62,55,Medium,260,556
2125,84,moderate,water,1,705458,71,100,91,Low,154,916
2148,50,hot,water,0,459119,60,70,65,Medium,197,652
318,99,hot,water,0,111994,90,90,75,Low,86,755
616,50,moderate,materials,2,131502,73,87,78,Low,89,787
1684,98,hot,water,0,616957,74,94,84,Low,147,848
1691,32,hot,materials,0,222724,58,55,81,Medium,147,813
1554,72,cold,energy,1,488870,74,75,87,Low,128,873
2179,38,hot,materials,0,367309,56,56,69,Medium,274,699
1518,82,cold,water,0,477075,72,96,73,Low,141,734
1171,49,cold,water,2,315489,57,93,65,Medium,378,656
1151,63,hot,water,0,266036,75,77,70,Medium,89,707
654,66,cold,materials,0,173407,73,73,79,Low,110,793
2379,49,hot,energy,0,451961,67,61,60,Medium,110,600
1709,59,moderate,water,2,409517,68,100,72,Low,130,726
702,96,hot,energy,0,229186,100,69,75,Low,65,758
1266,54,cold,energy,1,304405,72,71,82,Low,109,824
616,74,hot,water,1,173816,76,82,82,Low,105,824
1283,72,cold,energy,0,328355,86,80,73,Low,69,735
896,67,cold,materials,0,223902,72,73,78,Medium,112,786
2273,61,hot,water,0,569868,62,74,62,Medium,198,629
492,51,cold,materials,2,138367,66,78,79,Medium,166,793
597,60,cold,water,2,171746,60,96,69,Low,267,695
490,37,cold,materials,1,89405,59,66,81,Medium,193,812
2091,63,moderate,energy,0,434938,84,90,69,Low,60,691
757,65,cold,energy,0,177437,84,75,68,Low,68,686
569,42,cold,water,2,131627,61,91,55,Medium,204,554
1631,78,moderate,materials,0,399570,78,85,87,Low,84,871
586,47,cold,energy,0,119670,74,66,60,Medium,83,609
2115,28,hot,energy,1,318129,54,50,66,Medium,315,667
660,36,hot,materials,1,116278,57,60,76,Medium,230,760
480,64,hot,materials,2,153155,73,78,82,Low,136,821
779,31,cold,energy,0,112452,67,61,47,Medium,81,472
774,28,hot,water,2,122772,59,74,55,Medium,165,555
1228,39,hot,materials,0,219225,66,55,73,Medium,108,738
325,74,moderate,water,2,102412,83,100,69,Low,93,696
848,84,moderate,water,2,298863,87,100,78,Low,95,788
1527,61,hot,water,1,425790,62,83,84,Low,229,847
1047,84,cold,materials,2,385657,76,89,91,Low,141,918
3737,99,hot,water,1,1390627,52,94,92,Low,1457,923
3716,63,moderate,energy,1,916259,61,91,79,Low,206,796
549,67,cold,energy,2,168239,78,82,67,Low,105,670
1026,62,moderate,energy,2,258839,89,99,72,Low,64,722
836,66,moderate,materials,0,183441,79,82,80,Low,74,802
976,79,hot,water,0,253656,89,78,74,Low,66,743
628,54,cold,materials,2,169208,66,81,79,Low,165,798
783,83,cold,materials,1,266443,70,81,100,Low,167,1000
1479,77,hot,materials,1,497495,71,68,100,Low,158,1000
1037,41,cold,energy,0,201621,78,63,65,Medium,67,659
1687,73,hot,water,1,549369,64,79,91,Low,219,912
1115,76,cold,energy,1,373736,79,80,82,Low,115,825
1270,60,cold,energy,2,397258,72,78,69,Medium,139,691
492,85,moderate,water,0,155835,91,100,71,Low,76,713
952,48,cold,water,1,215553,61,89,71,Medium,189,714
1015,43,cold,water,2,219520,58,96,58,Medium,259,582
952,83,moderate,energy,2,333843,98,100,78,Low,73,784
1431,36,moderate,energy,1,218745,69,74,79,Medium,78,791
545,76,moderate,energy,2,177099,87,100,76,Low,87,761
803,66,cold,energy,1,209667,75,73,79,Low,104,792
2103,20,hot,water,2,251893,44,75,57,Medium,999,578
379,56,hot,water,2,92329,66,84,68,Medium,149,682
1947,24,hot,energy,2,271745,59,65,55,Medium,148,559
1164,47,hot,water,1,228962,61,80,74,Medium,174,740
1044,37,hot,water,0,155669,61,68,56,Medium,133,561
1420,92,cold,water,1,537548,71,100,92,Low,173,925
1054,80,moderate,materials,2,386325,86,100,89,Low,99,893
336,61,moderate,materials,1,81066,72,83,88,Low,109,883
542,67,hot,materials,1,147876,74,66,90,Low,109,905
1331,53,cold,water,0,287146,68,86,61,Medium,115,619
864,75,hot,materials,2,296335,69,83,89,Low,171,890
330,55,hot,materials,0,75485,73,60,72,Medium,99,721
2292,96,hot,energy,2,1007713,90,89,89,Low,107,899
620,45,cold,energy,0,112700,79,64,60,Medium,61,609
3536,93,moderate,energy,1,1223414,71,90,90,Low,161,905
1105,67,cold,materials,1,325762,62,73,98,Low,233,988
389,33,cold,materials,1,61168,57,65,82,Medium,217,821
1032,100,moderate,materials,0,354366,100,99,96,Low,68,965
822,34,moderate,water,1,126117,66,87,70,Medium,95,708
749,55,moderate,water,1,179818,70,100,79,Low,116,790
345,54,cold,materials,2,97079,63,81,72,Medium,203,723
1217,70,moderate,materials,0,277887,82,80,84,Low,69,844
1135,49,cold,energy,2,265170,69,78,61,Medium,119,617
519,54,hot,materials,1,123360,65,61,89,Medium,155,897
365,22,cold,water,1,45932,53,76,58,Medium,344,580
1332,28,moderate,water,2,209418,59,99,59,Medium,161,594
489,52,cold,materials,0,98977,71,68,77,Medium,94,771
522,42,hot,water,1,93834,61,69,67,Medium,162,675
1205,53,cold,materials,1,294452,55,70,94,Medium,422,947
1189,70,hot,water,2,359440,75,88,74,Low,118,745
560,53,hot,water,0,116025,72,77,64,Medium,93,646
3896,37,moderate,energy,0,540543,54,75,55,Medium,286,554
816,80,moderate,water,1,261903,79,100,87,Low,109,870
1213,55,cold,energy,0,297238,74,69,59,Medium,99,593
2299,30,hot,water,2,334432,46,72,59,Medium,999,592
1012,30,cold,water,0,149351,56,71,51,Medium,217,519
1994,82,hot,materials,0,569339,74,67,89,Low,114,899
418,44,moderate,energy,2,88703,79,87,61,Low,72,619
2081,78,hot,materials,1,621106,63,66,100,Low,222,1000
1278,82,hot,water,1,443960,72,89,83,Low,152,837
616,21,cold,energy,0,67630,57,58,49,Medium,147,498
380,54,moderate,materials,1,86727,69,84,90,Low,116,907
1582,100,hot,water,2,650617,81,100,82,Low,129,824
431,25,moderate,energy,2,58174,69,81,51,Medium,70,517
1325,58,cold,materials,0,329151,66,75,78,Medium,147,788
1704,69,cold,water,2,578507,61,99,75,Low,298,752
1595,94,cold,energy,2,732649,82,100,85,Low,142,851
514,59,moderate,energy,1,133135,82,77,75,Low,80,759
1255,75,hot,materials,1,369557,67,70,100,Low,169,1000
1283,58,moderate,energy,2,359490,87,93,67,Low,74,675
498,65,cold,energy,1,138292,73,74,81,Low,116,811
669,81,cold,materials,2,246050,76,91,89,Low,138,895
1974,21,moderate,water,2,204999,51,91,57,Medium,821,578
308,67,moderate,materials,2,97596,77,100,81,Low,115,819
2105,67,moderate,energy,0,475588,82,80,66,Low,69,664
526,87,hot,materials,2,186035,86,84,96,Low,97,966
388,60,moderate,materials,0,77584,81,81,78,Low,62,786
1130,77,cold,water,1,366452,69,91,85,Low,167,858
734,86,cold,energy,2,260622,84,95,80,Low,101,808
2523,28,moderate,materials,2,353247,47,82,72,Medium,999,726
1074,63,hot,materials,1,312388,62,63,92,Medium,223,926
311,87,hot,energy,0,92537,91,71,71,Low,71,719
2733,49,cold,water,2,637786,42,92,62,Medium,999,629
891,76,hot,materials,2,295182,76,76,89,Low,123,898
1548,55,cold,energy,0,376061,74,69,64,Medium,100,646
344,64,hot,materials,2,95996,76,78,79,Low,106,799
1206,34,moderate,energy,0,169204,81,68,52,Medium,44,523
2103,66,cold,water,0,569007,60,89,62,Medium,262,623
1390,69,cold,energy,1,429043,69,79,84,Low,155,842
626,74,hot,materials,1,172398,71,66,99,Low,129,997
798,77,hot,water,1,230796,75,84,81,Low,112,814
749,65,moderate,materials,2,212951,76,95,85,Low,107,850
431,25,hot,energy,0,44469,73,51,50,Medium,44,501
515,79,hot,energy,0,137690,82,71,68,Medium,81,687
4752,30,cold,energy,1,802133,20,65,69,High,999,691
1010,23,cold,energy,0,111490,70,56,43,Medium,53,435
649,22,hot,energy,0,69967,73,51,47,Medium,46,475
1250,23,hot,materials,2,170372,48,59,69,Medium,999,690
1051,29,cold,energy,0,136229,67,56,53,Medium,75,533
2482,83,hot,materials,1,853866,56,71,100,Low,506,1000
1087,89,hot,water,1,396171,84,85,96,Low,104,962
500,81,cold,energy,1,172335,78,80,86,Low,119,861
4326,22,cold,materials,2,532278,22,69,71,High,999,710
4635,63,hot,water,1,1335280,33,77,79,Medium,999,798
1445,48,cold,materials,0,287887,65,67,81,Medium,131,813
2162,82,cold,energy,1,805046,68,82,89,Low,202,890
1091,21,moderate,materials,2,130375,65,84,66,Medium,76,667
505,56,cold,energy,2,136855,78,82,61,Medium,94,616
1264,59,moderate,materials,2,317987,69,100,81,Low,131,819
1003,73,cold,materials,0,264121,78,77,85,Low,92,856
891,99,cold,materials,1,342739,83,89,100,Low,116,1000
1202,85,moderate,energy,1,400912,93,92,87,Low,77,872
1697,65,hot,water,1,493279,69,79,86,Low,151,869
977,33,cold,energy,0,144948,67,59,53,Medium,84,538
423,69,moderate,materials,2,130034,81,99,81,Low,96,817
1531,39,hot,energy,0,252407,69,53,59,Medium,84,592
356,65,cold,materials,2,105781,67,84,88,Low,171,884
655,43,cold,materials,1,136311,55,75,82,Medium,408,826
2204,30,hot,energy,0,284647,59,50,55,Medium,130,557
1010,73,cold,materials,0,300695,78,72,82,Low,105,829
1529,82,hot,materials,2,568425,77,77,93,Low,133,931
1108,74,moderate,materials,1,298589,78,91,100,Low,93,1000
414,61,cold,energy,0,105650,84,67,60,Medium,75,601
654,85,cold,materials,2,253545,77,88,93,Low,143,938
1416,25,cold,materials,0,168498,57,59,68,Medium,154,688
977,69,cold,materials,0,285701,76,77,83,Low,112,835
910,23,cold,materials,0,107508,57,58,61,Medium,165,610
1966,48,cold,materials,2,512293,55,83,79,Medium,513,796
2418,27,moderate,materials,2,335580,54,86,71,Medium,290,712
1754,71,hot,water,2,572776,67,93,73,Low,189,731
1116,78,hot,energy,0,345985,91,69,69,Low,75,691
1438,75,moderate,water,0,349194,83,100,74,Low,71,747
1752,81,moderate,water,1,498321,75,100,92,Low,110,924
542,70,hot,energy,2,183258,86,78,73,Low,91,737
468,64,cold,water,0,108522,71,89,66,Low,109,662
2460,72,moderate,energy,1,681694,77,85,87,Low,99,872
1007,84,hot,energy,1,327548,86,76,86,Low,89,868
754,78,moderate,water,0,214362,91,100,69,Low,68,697
378,53,moderate,materials,1,76789,68,81,89,Low,107,894
1301,26,cold,energy,2,196096,54,70,55,Medium,304,554
1208,68,hot,energy,1,371770,78,69,84,Low,108,840
1644,25,hot,materials,0,203765,54,47,70,Medium,250,702
2467,78,cold,materials,2,823997,62,87,90,Low,266,903
344,37,moderate,materials,0,50389,73,76,66,Medium,61,662
777,33,hot,water,0,117525,61,69,51,Medium,126,516
435,85,moderate,water,1,127324,81,100,86,Low,91,865
1023,28,hot,materials,1,154913,54,51,78,Medium,339,787
822,24,cold,water,2,126565,52,83,53,Medium,662,534
1942,55,cold,energy,1,498177,61,67,76,Medium,219,760
319,78,hot,materials,0,89682,85,60,82,Low,78,826
1043,55,cold,water,0,214579,68,87,63,Medium,111,639
809,82,cold,water,1,271969,78,92,84,Low,116,848
1575,59,hot,water,0,352079,68,73,63,Medium,123,637
1110,77,cold,materials,2,401637,68,89,87,Low,191,875
838,81,hot,materials,2,279265,80,79,91,Low,110,910
451,52,cold,water,1,110749,60,85,73,Medium,240,733
1448,39,cold,water,0,255756,56,78,57,Medium,293,571
583,33,moderate,energy,2,98729,75,78,52,Medium,65,522
4647,61,hot,energy,2,1196553,43,74,64,Medium,999,643
805,73,hot,water,0,210963,83,79,71,Low,78,715
1551,84,hot,materials,2,537167,78,86,93,Low,121,939
1268,40,moderate,materials,0,185891,67,69,71,Medium,81,719
2352,79,cold,energy,2,774314,75,86,78,Low,128,787
2574,23,cold,energy,1,296835,43,56,70,Medium,999,703
1024,77,moderate,water,0,271340,92,100,64,Low,62,645
1273,44,moderate,materials,1,262282,64,79,88,Low,145,884
1035,93,hot,energy,1,360243,93,78,100,Low,79,1000
1752,58,cold,materials,0,388916,66,72,76,Medium,137,763
2245,33,cold,materials,0,345346,41,59,72,Medium,999,722
1932,47,cold,energy,0,407117,67,70,62,Medium,120,621
1759,22,hot,materials,0,169298,56,47,66,Medium,146,667
831,82,hot,materials,0,222095,87,71,89,Low,71,897
1279,68,moderate,water,0,325604,74,97,73,Low,105,735
708,50,moderate,materials,1,160064,68,81,97,Low,120,979
1860,33,cold,energy,1,301606,51,68,67,Medium,1232,672
1002,48,moderate,materials,2,204664,69,84,78,Low,103,788
1363,24,cold,water,2,181298,51,83,56,Medium,707,561
2006,89,hot,water,2,760132,74,94,78,Low,153,784
2454,49,hot,energy,1,530053,59,64,75,Medium,222,750
4266,77,hot,energy,1,1405900,49,66,91,Medium,999,919
3041,20,cold,water,2,403771,34,86,57,Medium,999,571
4793,78,hot,energy,1,1460018,45,71,84,Medium,999,844
604,83,hot,water,2,225533,83,96,72,Low,110,727
321,23,moderate,materials,1,33977,56,67,77,Medium,174,774
981,65,moderate,materials,0,240451,77,86,83,Low,88,832
898,90,hot,materials,1,301796,86,70,100,Low,92,1000
1123,58,hot,materials,1,272222,66,63,96,Low,149,962
4283,97,cold,water,0,1407860,55,93,85,Low,596,856
486,75,hot,water,0,140424,85,82,65,Low,81,654
711,63,hot,materials,1,170240,69,66,93,Low,121,938
2095,85,cold,energy,0,687643,77,81,76,Low,119,764
1129,28,hot,energy,0,149626,73,51,51,Medium,56,512
1225,58,hot,water,1,334139,64,77,72,Medium,191,726
2365,78,moderate,materials,1,726249,67,96,100,Low,173,1000
616,22,cold,energy,2,81785,62,65,55,Medium,109,559
2263,31,cold,water,0,323728,41,78,53,Medium,999,539
415,36,hot,materials,1,75213,60,55,85,Medium,165,858
4470,25,cold,water,0,539134,20,71,52,High,999,525
1812,63,hot,materials,1,476302,62,58,98,Medium,203,985
745,40,cold,materials,1,152858,55,70,89,Medium,342,892
1085,93,hot,materials,2,406745,86,84,98,Low,102,988
1135,47,cold,energy,1,251255,65,69,74,Medium,143,742
416,47,cold,water,2,102595,63,92,63,Medium,187,630
1554,35,moderate,energy,0,212816,73,68,59,Medium,57,592
530,68,hot,materials,0,138028,80,64,81,Low,85,818
969,91,hot,materials,2,365375,84,82,93,Low,107,932
1040,52,cold,materials,1,250301,60,73,88,Medium,229,885
1062,48,cold,energy,1,254214,67,69,76,Medium,139,762
1256,70,cold,materials,1,416779,61,78,100,Low,278,1000
402,73,cold,energy,0,103223,84,72,64,Medium,74,646
440,34,cold,energy,2,83802,66,72,51,Medium,115,510
4989,93,hot,materials,2,2050282,42,84,100,Low,999,1000
544,74,cold,water,1,181571,71,94,80,Low,158,809
1673,44,hot,materials,2,333181,60,69,79,Medium,184,798
1636,30,moderate,water,0,213573,56,84,61,Medium,204,611
1246,97,cold,energy,0,460630,90,83,83,Low,91,836
745,30,cold,water,2,118643,53,85,52,Medium,504,528
1352,91,hot,materials,1,504617,74,69,100,Low,150,1000
2308,78,moderate,materials,0,649572,77,85,88,Low,101,888
1656,42,hot,energy,2,369887,67,71,58,Medium,127,581
873,21,moderate,materials,2,103580,57,81,68,Medium,158,687
998,65,hot,water,0,246772,80,79,63,Medium,81,630
1296,62,cold,materials,0,347616,68,68,79,Medium,144,799
2126,66,hot,materials,0,501674,67,68,85,Medium,135,850
2083,29,cold,water,1,289442,37,81,67,Medium,999,678
1254,65,moderate,water,0,271419,79,96,72,Low,72,726
2809,55,moderate,water,2,628578,55,100,70,Low,397,703
2408,56,cold,water,1,579009,48,88,81,Medium,999,817
1487,27,moderate,materials,1,200826,52,70,85,Medium,624,851
742,70,cold,energy,1,203578,80,78,79,Low,90,799
1360,67,moderate,materials,2,427656,80,100,95,Low,102,955
1798,68,cold,water,0,434609,67,86,70,Medium,136,703
598,39,hot,materials,0,100776,64,55,74,Medium,116,749
2151,69,cold,energy,0,550444,66,74,71,Medium,152,712
397,65,cold,water,0,94147,64,85,61,Medium,159,610
1499,99,cold,materials,0,501052,79,86,99,Low,115,990
871,43,cold,energy,0,153694,75,59,56,Medium,69,565
1464,85,moderate,energy,2,528260,90,100,76,Low,89,762
967,55,cold,energy,1,235682,68,77,77,Medium,129,773
587,71,cold,materials,0,159838,78,77,76,Low,96,769
922,61,cold,water,1,262730,68,84,81,Low,158,811
1428,85,cold,water,1,536775,75,98,91,Low,146,917
480,35,cold,materials,0,78889,57,68,68,Medium,215,684
3061,39,moderate,materials,2,543877,48,84,73,Medium,999,738
1277,35,moderate,energy,0,184363,77,75,56,Medium,51,569
1999,54,moderate,energy,0,429118,78,79,67,Low,74,671
1136,79,cold,energy,1,387629,76,81,90,Low,127,907
2071,51,hot,materials,0,385486,66,63,79,Medium,112,792
3947,61,hot,energy,1,1029525,49,67,78,Medium,999,786
611,25,cold,energy,1,87622,59,60,61,Medium,158,615
1787,45,moderate,materials,1,343877,61,79,91,Low,166,913
572,97,moderate,water,0,191566,91,100,74,Low,81,740
1393,84,cold,water,0,438080,72,92,76,Low,140,767
1034,40,hot,energy,0,178909,79,58,55,Medium,59,555
380,60,cold,energy,0,98001,80,65,62,Medium,85,624
942,20,cold,energy,2,112746,62,73,50,Medium,92,507
647,51,cold,energy,0,126645,76,68,55,Medium,74,554
1124,84,cold,water,2,447555,74,100,85,Low,161,852
1951,89,cold,water,1,708177,65,100,93,Low,238,931
2312,61,hot,energy,1,590654,64,64,79,Medium,170,799
371,96,moderate,energy,1,141663,100,96,91,Low,76,916
1244,77,moderate,water,1,373303,78,100,92,Low,103,923
2038,83,moderate,materials,1,696244,72,94,100,Low,148,1000
1611,37,cold,water,1,301911,43,81,65,Medium,999,659
843,38,hot,water,1,162041,56,69,68,Medium,296,689
2259,33,cold,water,2,386004,44,87,62,Medium,999,624
1594,97,cold,energy,2,714164,89,96,82,Low,114,828
834,75,cold,water,1,263750,71,96,84,Low,147,844
2825,31,cold,water,2,510312,35,88,58,Medium,999,580
1589,83,hot,materials,1,561668,71,76,100,Low,164,1000
1546,27,cold,energy,2,231280,58,69,55,Medium,168,553
939,45,hot,materials,1,171969,64,59,87,Medium,130,876
4861,77,hot,materials,1,1505438,37,71,100,Medium,999,1000
1350,29,hot,energy,0,166499,68,52,54,Medium,65,547
566,67,moderate,energy,1,145139,81,85,81,Low,80,817
402,73,hot,water,0,110250,76,78,65,Medium,101,659
1359,33,hot,water,1,199236,55,64,68,Medium,283,680
2405,65,cold,water,2,810740,57,100,72,Low,433,723
742,43,hot,materials,1,132429,59,56,88,Medium,191,885
553,85,hot,materials,1,202083,81,71,100,Low,115,1000
348,74,hot,materials,1,105299,74,72,97,Low,125,979
1187,71,hot,energy,2,349396,88,79,76,Low,76,761
1709,75,cold,water,2,559191,69,100,77,Low,169,770
1068,60,hot,water,2,275791,72,85,67,Low,113,676
1392,64,cold,energy,0,370718,76,73,72,Medium,99,721
1148,45,cold,materials,0,217290,67,66,70,Medium,111,701
645,48,moderate,energy,0,115215,84,76,55,Medium,51,552
1308,65,moderate,water,2,394527,79,100,71,Low,101,710
486,48,cold,materials,2,127425,63,84,75,Medium,191,758
2201,75,hot,energy,0,547432,82,67,71,Medium,77,717
1112,74,cold,water,2,387531,69,100,74,Low,175,749
510,63,moderate,energy,1,139985,85,89,82,Low,78,825
408,83,hot,materials,0,121310,84,70,85,Low,87,852
773,20,moderate,energy,1,71673,68,70,60,Medium,50,607
1395,90,cold,water,2,527507,82,100,80,Low,116,809
2328,90,hot,water,0,682194,76,88,80,Low,109,805
1169,87,hot,energy,2,405451,86,83,83,Low,94,835
2350,97,cold,materials,2,1007464,62,98,100,Low,346,1000
2406,37,hot,water,2,442709,48,79,61,Medium,999,619
1372,53,hot,energy,0,287002,81,57,64,Medium,66,643
804,63,cold,energy,1,229685,76,69,80,Low,106,804
1646,54,cold,energy,0,385870,72,73,68,Medium,102,685
428,92,cold,materials,0,138576,89,86,87,Low,81,879
1682,40,cold,water,0,274371,58,81,58,Medium,200,581
1247,82,moderate,materials,0,332672,84,88,90,Low,76,907
748,77,moderate,materials,2,258062,82,99,92,Low,104,922
652,75,hot,water,2,216159,76,92,72,Low,127,726
1323,29,cold,water,2,200831,46,95,59,Medium,999,597
2260,94,cold,water,0,764429,70,96,82,Low,164,825
429,64,moderate,materials,0,94586,81,77,76,Low,71,769
1073,84,cold,energy,1,369946,88,81,86,Low,90,860
1415,85,hot,materials,0,457118,81,67,93,Low,102,936
645,48,hot,water,0,134954,71,72,54,Medium,98,545
541,100,hot,water,0,188709,90,95,83,Low,85,830
1494,75,hot,water,0,425424,78,80,77,Low,101,770
1415,67,hot,energy,2,452942,76,75,74,Low,121,741
619,73,cold,materials,2,224754,74,86,84,Low,150,845
2038,48,cold,energy,2,488489,61,75,65,Medium,199,655
1364,45,moderate,energy,1,244194,70,81,72,Medium,86,720
1892,88,hot,materials,1,713917,73,70,100,Low,157,1000
949,41,hot,energy,1,185320,68,55,75,Medium,104,752
478,69,hot,energy,2,145594,81,76,70,Low,97,709
1581,51,moderate,water,1,318498,61,92,78,Low,177,782
2385,27,cold,water,2,385547,41,83,60,Medium,999,609
783,45,moderate,energy,2,170774,79,92,66,Low,73,664
376,62,hot,energy,2,113779,84,73,66,Medium,87,662
1915,51,hot,energy,1,437262,68,59,82,Medium,126,821
367,100,moderate,water,0,109416,96,100,76,Low,64,763
521,40,moderate,materials,0,86945,78,75,64,Medium,58,646
457,52,cold,materials,0,88977,66,60,72,Medium,118,722
1993,68,cold,water,0,524914,66,93,68,Low,159,682
594,47,cold,energy,2,147342,67,81,60,Medium,140,604
1455,43,hot,water,2,308488,59,84,64,Medium,223,648
977,79,cold,energy,0,318959,83,75,71,Low,97,713
2313,35,moderate,energy,2,393188,66,83,61,Medium,105,613
892,77,hot,water,1,276394,81,83,88,Low,98,883
2155,25,moderate,energy,2,276347,61,79,56,Medium,111,568
1067,59,cold,water,1,291865,61,83,75,Medium,243,753
1528,59,moderate,water,2,406059,72,100,74,Low,115,741
1378,57,cold,materials,1,371176,64,70,98,Low,190,980
1486,54,cold,materials,1,358811,56,72,93,Medium,392,935
2024,34,moderate,water,1,314835,53,91,75,Medium,503,750
2272,48,moderate,water,0,451270,66,94,64,Low,121,648
3614,94,moderate,water,1,1229710,58,100,99,Low,404,998
1904,100,hot,materials,1,669058,77,76,100,Low,126,1000
769,20,cold,materials,0,77250,52,56,67,Medium,401,674
1259,80,moderate,energy,1,349028,87,89,88,Low,74,881
737,34,cold,water,0,113059,61,71,62,Medium,135,629
1410,31,cold,energy,1,233571,60,66,69,Medium,151,696
1113,83,cold,water,0,347731,76,99,75,Low,116,757
613,82,moderate,water,2,223782,88,100,74,Low,94,740
593,22,moderate,water,1,69391,54,84,57,Medium,285,570
2095,66,moderate,water,0,503923,73,97,72,Low,103,728
1465,80,cold,materials,0,455372,75,76,88,Low,120,887
482,31,hot,energy,2,81744,70,61,56,Medium,81,564
1486,66,cold,water,0,399971,67,86,68,Medium,156,683
2418,66,hot,energy,0,601064,72,62,69,Medium,108,691
1931,43,moderate,water,0,345214,64,92,63,Medium,124,639
879,75,moderate,materials,2,281654,88,99,89,Low,82,893
1204,43,cold,energy,1,261538,63,65,72,Medium,166,723
623,83,moderate,materials,0,175586,85,92,88,Low,79,886
1314,98,cold,materials,2,565274,73,98,100,Low,180,1000
947,45,hot,materials,1,191790,63,62,83,Medium,152,835
1990,63,moderate,materials,0,448215,72,80,84,Low,101,843
991,62,cold,energy,1,292522,72,74,81,Low,131,817
1497,27,hot,materials,2,218914,54,62,73,Medium,335,730
605,75,moderate,materials,0,165517,82,88,82,Low,83,820
338,67,hot,energy,0,83493,91,67,61,Medium,59,610
2418,85,cold,energy,0,721789,78,78,80,Low,103,804
569,27,cold,water,2,81776,53,86,52,Medium,360,524
371,99,hot,materials,2,151472,88,87,97,Low,105,972
475,73,cold,water,2,167778,74,100,70,Low,142,708
1222,72,hot,materials,1,386025,76,64,95,Low,120,959
